Genres,Source,Type,Episodes,Score,Favorites,Decimal,Popularity
"Comedy, Romance",Light novel,TV,12,7.34,4188,3,110
"Fantasy, Shoujo, Otro",Original,Movie,1,6.91,4,4612,6043
"Comedy, Shoujo",Manga,TV,25,7.86,2193,513,813
"Comedy, Romance, Fantasy, Shounen, Supernatural",Manga,TV,22,7.66,163,151,1565
Action,Novel,TV,12,7.56,235,8,1189
"Comedy, Fantasy, Action",Game,TV,48,6.89,62,13,2235
"Romance, Ecchi",Visual novel,TV,13,6.3,16,258,3058
Sci-Fi,Manga,Special,1,5.47,3,32,4633
"Fantasy, Shounen",Novel,TV,24,6.14,1,20,11651
"Sports, Shounen",Manga,TV,23,6.16,10,4112,4372
Comedy,Manga,Special,9,6.73,54,1,2003
"Comedy, Romance",Manga,TV,26,6.57,2,3,9228
"Comedy, Otro",Music,TV,10,5.5,1,4097,10266
"Comedy, Romance",Manga,TV,13,7.63,62,3,1513
"Comedy, Fantasy",Original,TV,13,7.09,20,5,4793
"Comedy, Sci-Fi, Fantasy, Shounen, Otro",Original,TV,39,6.37,15,4149,4404
"Comedy, Ecchi",Light novel,Special,6,6.7,3,257,3986
Comedy,Original,ONA,3,5.32,2,1,8257
Fantasy,Manga,Movie,1,7.18,12,4,6618
"Comedy, Ecchi, Otro",Other,TV,13,5.97,29,4353,2256
"Comedy, Sci-Fi, Romance, Fantasy, Action",Manga,Movie,1,6.99,1,47,5686
"Comedy, Romance, Shoujo",Visual novel,ONA,10,6.66,19,515,4295
Hentai,Visual novel,OVA,2,6.74,11,2048,5415
"Comedy, Romance, Ecchi",Original,Special,9,7.21,131,259,2274
"Action, Supernatural, Thriller",Manga,ONA,1,5.77,0,65672,7155
"Comedy, Fantasy, Supernatural",Light novel,OVA,1,7.86,202,133,711
"Historical, Fantasy, Shounen, Action",Novel,TV,10,6.68,11,1052,7262
"Romance, Shoujo",Manga,OVA,2,7.25,71,514,2312
"Comedy, Romance, Fantasy, Shoujo, Otro",Manga,TV,172,7.43,111,4615,3546
"Sci-Fi, Romance, Action",Original,TV,25,8.26,660,42,1438
Comedy,Original,TV,13,5.35,0,1,10998
Romance,Light novel,TV,13,6.33,11,2,4369
"Comedy, Romance, Fantasy",Original,TV,24,7.16,114,7,2914
"Fantasy, Action",Original,OVA,4,7.34,25,12,2993
"Fantasy, Otro",Manga,OVA,15,7.88,5,4100,5127
Otro,Game,Movie,1,7.68,102,4096,2888
"Fantasy, Shoujo, Music",Original,OVA,1,7.18,3,8708,7621
"Comedy, Sports, Shounen",Original,TV,21,5.8,0,4113,12084
"Comedy, Shounen, Action",Manga,OVA,12,6.64,2,25,9100
"Comedy, Sci-Fi, Romance, Fantasy",Original,TV,26,7.39,113,39,4116
"Romance, Gore",Visual novel,OVA,1,6.32,139,16386,1077
"Comedy, Fantasy, Shounen, Action",Manga,Movie,1,7.26,48,29,2132
"Historical, Fantasy",Other,Movie,1,4.55,0,1028,13898
Otro,Original,TV,52,4.64,0,4096,11988
"Comedy, Sci-Fi, Fantasy, Action, Otro",Game,Movie,1,7.08,66,4141,1399
"Sports, Romance, Shoujo, Music",Manga,TV,19,6.69,14,12802,6247
"Comedy, Sci-Fi, Romance",Light novel,OVA,1,7.64,56,35,2100
"Comedy, Sci-Fi, Romance, Shounen, Action, Ecchi",Manga,TV,12,6.69,47,315,2085
"Sci-Fi, Historical, Action",Original,Movie,1,6.18,2,1064,7546
"Romance, Fantasy, Shoujo, Action",Original,Movie,1,7.38,1,526,7635
Fantasy,Card game,TV,52,6.77,5,4,7340
"Romance, Shounen, Action",Original,TV,12,7.5,30,26,3886
"Comedy, Romance",Original,Special,1,7.43,4,3,4425
"Sci-Fi, Fantasy, Action, Otro",Manga,TV,13,7.3,1019,4140,617
"Comedy, Romance, Shounen, Action, Ecchi",4-koma manga,TV,12,5.89,16,283,2322
"Comedy, Shounen",Original,Movie,1,6.36,0,17,13590
"Fantasy, Shounen, Action, Supernatural, Otro",Original,TV,59,7.36,63,4252,3427
"Mistery, Comedy, Fantasy, Shounen, Otro",Manga,Movie,1,8.0,46,36885,1970
"Sci-Fi, Romance, Shoujo, Otro",Visual novel,Special,1,6.24,41,4642,2865
"Romance, Gore, Shounen, Supernatural, Otro",Manga,TV,12,7.93,3060,20626,317
"Comedy, Romance, Fantasy",Manga,Movie,1,6.69,0,7,7254
"Comedy, Sports",Manga,TV,12,6.73,10,4097,4236
"Comedy, Romance",4-koma manga,Special,1,6.5,0,3,9044
"Comedy, Romance, Otro",Manga,TV,13,7.47,172,4099,2282
"Romance, Gore, Action, Supernatural",Original,TV,13,7.5,355,16522,1681
"Historical, Romance, Shounen",Manga,Special,6,6.41,0,1042,5968
Comedy,Other,Movie,4,6.38,29,1,3792
"Fantasy, Shounen, Action",Manga,Movie,1,7.55,657,28,455
"Romance, Music, Shounen, Ecchi",Manga,TV,12,6.73,587,8466,610
"Comedy, Sci-Fi, Shounen",Manga,TV,13,7.53,282,49,1250
Hentai,Visual novel,OVA,2,6.84,13,2048,5190
"Comedy, Sports, Romance, Otro",Other,Special,1,5.64,0,8195,9557
Romance,Visual novel,Special,1,6.51,1,2,8844
"Sci-Fi, Romance, Action",Novel,Movie,1,8.17,36,42,2924
"Sci-Fi, Romance, Action",Novel,OVA,7,8.31,1066,42,1481
Hentai,Visual novel,OVA,2,6.54,9,2048,6194
"Gore, Otro",Game,Movie,1,4.4,0,20480,5165
"Gore, Supernatural",Original,TV,13,7.18,159,16512,1547
"Action, Supernatural",Web manga,TV,12,5.69,74,136,1321
"Fantasy, Shounen, Action",Manga,OVA,14,8.38,195,28,1145
"Fantasy, Otro",Light novel,TV,12,7.47,817,4100,529
"Sci-Fi, Romance, Fantasy, Action",Manga,TV,24,6.81,179,46,1219
"Mistery, Action",Manga,OVA,4,6.35,38,32776,4835
"Sci-Fi, Fantasy, Shounen",Original,TV,44,6.9,2,52,7850
"Mistery, Comedy, Fantasy, Shounen, Otro",Manga,Movie,1,7.96,26,36885,2192
"Comedy, Sci-Fi",Original,TV,50,6.56,1,33,9548
"Music, Gore",Original,Movie,1,3.77,0,24576,13793
"Comedy, Sports, Romance",Manga,TV,25,8.46,307,4099,1985
"Comedy, Romance, Shoujo, Music",Manga,TV,47,8.51,12291,8707,262
"Fantasy, Action",Card game,TV,12,6.23,117,12,1177
